,title,reviews,stars
359,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
360,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
361,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
362,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
363,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
364,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
365,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
366,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
367,Great Dining Experience,"I have visited Nusret inside the Grand Bazaar and also at the main location in Istanbul. Each time I have visited these restaurants I have never left disappointed. We have tried the lamb chops with fries, a steak dish, a hamburger, salad, etc. Everything has...always tasted fresh and the service is very good. When dining don't miss trying the baklava with vanilla ice cream. It's not to be missed and tastes really good. I will keep returning when visiting Istanbul.More",5
368,MUST VISIT,"We came here twice because on our first visit we only tried one menu since we are still full from our previous meal. On both visit, we ordered an onion flower, the first one sure tasted better because the second one is very oily I...can feel it on my throat, we didnt finish that. Moving on, overall we tried three courses:
1. Kuzu kafes (lamb) --> you got the slicing show if u order this 
2. Dana kaburga
3. Nusret special (if im not mistaken)

I think dana kaburga and nusret special are my two favs and will def order again if i come back to turkey. Both meet are SUPER SOFT, i didnt even use the knife to cut it!! But I think my best choice would be the nusret special because it is less oily and how its mixed with the bread and the smell of the butter is a perfect combination!! Also, I saw a lot of people ordering it so it must be one of their specials. of course we closed our meal with baklava!! this is my fav baklava out of many baklavas i tried in turkey, combined with the ice cream ugh so good and fresh!! I went there twice (weekdays tho) and no queue (the place is huge, the one near grand bazar)!! Plus value because the waiters are handy and fast so your table will not be dirty. 

I def recommend everyone to try this!! i think the price is still reasonable (they have variety of price) considering how good the food is and the overall experience.More",5
369,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
370,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
371,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
372,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
373,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
374,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
375,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
376,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
377,Great Dining Experience,"I have visited Nusret inside the Grand Bazaar and also at the main location in Istanbul. Each time I have visited these restaurants I have never left disappointed. We have tried the lamb chops with fries, a steak dish, a hamburger, salad, etc. Everything has...always tasted fresh and the service is very good. When dining don't miss trying the baklava with vanilla ice cream. It's not to be missed and tastes really good. I will keep returning when visiting Istanbul.More",5
378,MUST VISIT,"We came here twice because on our first visit we only tried one menu since we are still full from our previous meal. On both visit, we ordered an onion flower, the first one sure tasted better because the second one is very oily I...can feel it on my throat, we didnt finish that. Moving on, overall we tried three courses:
1. Kuzu kafes (lamb) --> you got the slicing show if u order this 
2. Dana kaburga
3. Nusret special (if im not mistaken)

I think dana kaburga and nusret special are my two favs and will def order again if i come back to turkey. Both meet are SUPER SOFT, i didnt even use the knife to cut it!! But I think my best choice would be the nusret special because it is less oily and how its mixed with the bread and the smell of the butter is a perfect combination!! Also, I saw a lot of people ordering it so it must be one of their specials. of course we closed our meal with baklava!! this is my fav baklava out of many baklavas i tried in turkey, combined with the ice cream ugh so good and fresh!! I went there twice (weekdays tho) and no queue (the place is huge, the one near grand bazar)!! Plus value because the waiters are handy and fast so your table will not be dirty. 

I def recommend everyone to try this!! i think the price is still reasonable (they have variety of price) considering how good the food is and the overall experience.More",5
379,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
380,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
381,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
382,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
383,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
384,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
385,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
386,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
387,Great Dining Experience,"I have visited Nusret inside the Grand Bazaar and also at the main location in Istanbul. Each time I have visited these restaurants I have never left disappointed. We have tried the lamb chops with fries, a steak dish, a hamburger, salad, etc. Everything has...always tasted fresh and the service is very good. When dining don't miss trying the baklava with vanilla ice cream. It's not to be missed and tastes really good. I will keep returning when visiting Istanbul.More",5
388,MUST VISIT,"We came here twice because on our first visit we only tried one menu since we are still full from our previous meal. On both visit, we ordered an onion flower, the first one sure tasted better because the second one is very oily I...can feel it on my throat, we didnt finish that. Moving on, overall we tried three courses:
1. Kuzu kafes (lamb) --> you got the slicing show if u order this 
2. Dana kaburga
3. Nusret special (if im not mistaken)

I think dana kaburga and nusret special are my two favs and will def order again if i come back to turkey. Both meet are SUPER SOFT, i didnt even use the knife to cut it!! But I think my best choice would be the nusret special because it is less oily and how its mixed with the bread and the smell of the butter is a perfect combination!! Also, I saw a lot of people ordering it so it must be one of their specials. of course we closed our meal with baklava!! this is my fav baklava out of many baklavas i tried in turkey, combined with the ice cream ugh so good and fresh!! I went there twice (weekdays tho) and no queue (the place is huge, the one near grand bazar)!! Plus value because the waiters are handy and fast so your table will not be dirty. 

I def recommend everyone to try this!! i think the price is still reasonable (they have variety of price) considering how good the food is and the overall experience.More",5
389,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
390,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
391,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
392,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
393,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
394,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
395,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
396,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
397,Great Dining Experience,"I have visited Nusret inside the Grand Bazaar and also at the main location in Istanbul. Each time I have visited these restaurants I have never left disappointed. We have tried the lamb chops with fries, a steak dish, a hamburger, salad, etc. Everything has...always tasted fresh and the service is very good. When dining don't miss trying the baklava with vanilla ice cream. It's not to be missed and tastes really good. I will keep returning when visiting Istanbul.More",5
398,MUST VISIT,"We came here twice because on our first visit we only tried one menu since we are still full from our previous meal. On both visit, we ordered an onion flower, the first one sure tasted better because the second one is very oily I...can feel it on my throat, we didnt finish that. Moving on, overall we tried three courses:
1. Kuzu kafes (lamb) --> you got the slicing show if u order this 
2. Dana kaburga
3. Nusret special (if im not mistaken)

I think dana kaburga and nusret special are my two favs and will def order again if i come back to turkey. Both meet are SUPER SOFT, i didnt even use the knife to cut it!! But I think my best choice would be the nusret special because it is less oily and how its mixed with the bread and the smell of the butter is a perfect combination!! Also, I saw a lot of people ordering it so it must be one of their specials. of course we closed our meal with baklava!! this is my fav baklava out of many baklavas i tried in turkey, combined with the ice cream ugh so good and fresh!! I went there twice (weekdays tho) and no queue (the place is huge, the one near grand bazar)!! Plus value because the waiters are handy and fast so your table will not be dirty. 

I def recommend everyone to try this!! i think the price is still reasonable (they have variety of price) considering how good the food is and the overall experience.More",5
399,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
400,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
401,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
402,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
403,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
404,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
405,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
406,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
407,Great Dining Experience,"I have visited Nusret inside the Grand Bazaar and also at the main location in Istanbul. Each time I have visited these restaurants I have never left disappointed. We have tried the lamb chops with fries, a steak dish, a hamburger, salad, etc. Everything has...always tasted fresh and the service is very good. When dining don't miss trying the baklava with vanilla ice cream. It's not to be missed and tastes really good. I will keep returning when visiting Istanbul.More",5
408,MUST VISIT,"We came here twice because on our first visit we only tried one menu since we are still full from our previous meal. On both visit, we ordered an onion flower, the first one sure tasted better because the second one is very oily I...can feel it on my throat, we didnt finish that. Moving on, overall we tried three courses:
1. Kuzu kafes (lamb) --> you got the slicing show if u order this 
2. Dana kaburga
3. Nusret special (if im not mistaken)

I think dana kaburga and nusret special are my two favs and will def order again if i come back to turkey. Both meet are SUPER SOFT, i didnt even use the knife to cut it!! But I think my best choice would be the nusret special because it is less oily and how its mixed with the bread and the smell of the butter is a perfect combination!! Also, I saw a lot of people ordering it so it must be one of their specials. of course we closed our meal with baklava!! this is my fav baklava out of many baklavas i tried in turkey, combined with the ice cream ugh so good and fresh!! I went there twice (weekdays tho) and no queue (the place is huge, the one near grand bazar)!! Plus value because the waiters are handy and fast so your table will not be dirty. 

I def recommend everyone to try this!! i think the price is still reasonable (they have variety of price) considering how good the food is and the overall experience.More",5
409,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
410,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
411,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
412,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
413,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
414,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
415,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
416,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
417,Great Dining Experience,"I have visited Nusret inside the Grand Bazaar and also at the main location in Istanbul. Each time I have visited these restaurants I have never left disappointed. We have tried the lamb chops with fries, a steak dish, a hamburger, salad, etc. Everything has...always tasted fresh and the service is very good. When dining don't miss trying the baklava with vanilla ice cream. It's not to be missed and tastes really good. I will keep returning when visiting Istanbul.More",5
418,MUST VISIT,"We came here twice because on our first visit we only tried one menu since we are still full from our previous meal. On both visit, we ordered an onion flower, the first one sure tasted better because the second one is very oily I...can feel it on my throat, we didnt finish that. Moving on, overall we tried three courses:
1. Kuzu kafes (lamb) --> you got the slicing show if u order this 
2. Dana kaburga
3. Nusret special (if im not mistaken)

I think dana kaburga and nusret special are my two favs and will def order again if i come back to turkey. Both meet are SUPER SOFT, i didnt even use the knife to cut it!! But I think my best choice would be the nusret special because it is less oily and how its mixed with the bread and the smell of the butter is a perfect combination!! Also, I saw a lot of people ordering it so it must be one of their specials. of course we closed our meal with baklava!! this is my fav baklava out of many baklavas i tried in turkey, combined with the ice cream ugh so good and fresh!! I went there twice (weekdays tho) and no queue (the place is huge, the one near grand bazar)!! Plus value because the waiters are handy and fast so your table will not be dirty. 

I def recommend everyone to try this!! i think the price is still reasonable (they have variety of price) considering how good the food is and the overall experience.More",5
419,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
420,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
421,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
422,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
423,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
424,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
425,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
426,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
427,Great Dining Experience,"I have visited Nusret inside the Grand Bazaar and also at the main location in Istanbul. Each time I have visited these restaurants I have never left disappointed. We have tried the lamb chops with fries, a steak dish, a hamburger, salad, etc. Everything has...always tasted fresh and the service is very good. When dining don't miss trying the baklava with vanilla ice cream. It's not to be missed and tastes really good. I will keep returning when visiting Istanbul.More",5
428,MUST VISIT,"We came here twice because on our first visit we only tried one menu since we are still full from our previous meal. On both visit, we ordered an onion flower, the first one sure tasted better because the second one is very oily I...can feel it on my throat, we didnt finish that. Moving on, overall we tried three courses:
1. Kuzu kafes (lamb) --> you got the slicing show if u order this 
2. Dana kaburga
3. Nusret special (if im not mistaken)

I think dana kaburga and nusret special are my two favs and will def order again if i come back to turkey. Both meet are SUPER SOFT, i didnt even use the knife to cut it!! But I think my best choice would be the nusret special because it is less oily and how its mixed with the bread and the smell of the butter is a perfect combination!! Also, I saw a lot of people ordering it so it must be one of their specials. of course we closed our meal with baklava!! this is my fav baklava out of many baklavas i tried in turkey, combined with the ice cream ugh so good and fresh!! I went there twice (weekdays tho) and no queue (the place is huge, the one near grand bazar)!! Plus value because the waiters are handy and fast so your table will not be dirty. 

I def recommend everyone to try this!! i think the price is still reasonable (they have variety of price) considering how good the food is and the overall experience.More",5
429,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
430,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
431,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
432,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
433,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
434,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
435,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
436,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
437,Great Dining Experience,"I have visited Nusret inside the Grand Bazaar and also at the main location in Istanbul. Each time I have visited these restaurants I have never left disappointed. We have tried the lamb chops with fries, a steak dish, a hamburger, salad, etc. Everything has...always tasted fresh and the service is very good. When dining don't miss trying the baklava with vanilla ice cream. It's not to be missed and tastes really good. I will keep returning when visiting Istanbul.More",5
438,MUST VISIT,"We came here twice because on our first visit we only tried one menu since we are still full from our previous meal. On both visit, we ordered an onion flower, the first one sure tasted better because the second one is very oily I...can feel it on my throat, we didnt finish that. Moving on, overall we tried three courses:
1. Kuzu kafes (lamb) --> you got the slicing show if u order this 
2. Dana kaburga
3. Nusret special (if im not mistaken)

I think dana kaburga and nusret special are my two favs and will def order again if i come back to turkey. Both meet are SUPER SOFT, i didnt even use the knife to cut it!! But I think my best choice would be the nusret special because it is less oily and how its mixed with the bread and the smell of the butter is a perfect combination!! Also, I saw a lot of people ordering it so it must be one of their specials. of course we closed our meal with baklava!! this is my fav baklava out of many baklavas i tried in turkey, combined with the ice cream ugh so good and fresh!! I went there twice (weekdays tho) and no queue (the place is huge, the one near grand bazar)!! Plus value because the waiters are handy and fast so your table will not be dirty. 

I def recommend everyone to try this!! i think the price is still reasonable (they have variety of price) considering how good the food is and the overall experience.More",5
439,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
440,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
441,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
442,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
443,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
444,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
445,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
446,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
447,Great Dining Experience,"I have visited Nusret inside the Grand Bazaar and also at the main location in Istanbul. Each time I have visited these restaurants I have never left disappointed. We have tried the lamb chops with fries, a steak dish, a hamburger, salad, etc. Everything has...always tasted fresh and the service is very good. When dining don't miss trying the baklava with vanilla ice cream. It's not to be missed and tastes really good. I will keep returning when visiting Istanbul.More",5
448,MUST VISIT,"We came here twice because on our first visit we only tried one menu since we are still full from our previous meal. On both visit, we ordered an onion flower, the first one sure tasted better because the second one is very oily I...can feel it on my throat, we didnt finish that. Moving on, overall we tried three courses:
1. Kuzu kafes (lamb) --> you got the slicing show if u order this 
2. Dana kaburga
3. Nusret special (if im not mistaken)

I think dana kaburga and nusret special are my two favs and will def order again if i come back to turkey. Both meet are SUPER SOFT, i didnt even use the knife to cut it!! But I think my best choice would be the nusret special because it is less oily and how its mixed with the bread and the smell of the butter is a perfect combination!! Also, I saw a lot of people ordering it so it must be one of their specials. of course we closed our meal with baklava!! this is my fav baklava out of many baklavas i tried in turkey, combined with the ice cream ugh so good and fresh!! I went there twice (weekdays tho) and no queue (the place is huge, the one near grand bazar)!! Plus value because the waiters are handy and fast so your table will not be dirty. 

I def recommend everyone to try this!! i think the price is still reasonable (they have variety of price) considering how good the food is and the overall experience.More",5
449,dinner twice - once near the Grand Bazar outlet and next at the main Nusret,"Food at the Grand Bazar outlet was wonderful (true to the old Nusret I knew) as was the service - the time and attention and recommendations was so good. The only downside is they dont serve liquor. At the main Nusret, it is a herding...of people - poor service and no time for the guests. One is made to feel lucky to have been given a table and food. The main Nusret I knew from yester years was one of excellent food and service and welcoming. Recommend go to the smaller Nusret outlets - will be very good and usually u will not have to make a reservation though advance reservation is recommended. .More",4
450,Steaklovers destination,"My experience at Nusr-et was really good. Nice welcoming, friendly staff. Food made to our liking. The Şaşlık was super tasty and fresh.",5
451,Tasty!!! Delicious!!!,"They make the best hamburger in Istanbul!
Price is not expensive
I would visit it again 
I visit the grand bazar restaurant",5
452,Excellent for just one try,"It was my second time in Nusret.
I should confess that the first time was more attractive to me.
First time I went there, the atmosphere and style caught my eye . I had fun and of course the quality of food was good.
This...time I focus  on quality .
My steak was still was good but just good and very expensive for istanbul.
I recommend this restaurant highly for just one visit which is worthy to seeMore",4
453,Way better than expected!!,"Although I was afraid that it would be a rather overrated restaurant, it was excellent. The food was delicious, and the service exceptional. It was crowded, but somehow the stuff managed to find a table for everyone in a few minutes.
The meat was great,...and the fried onion the waiter proposed was delicious (definitely try it if you're going).More",5
454,Real good!,We had a lovely night out in the city and this restaurant was soo good. It was crowded and full of energy and we really loved it. Definitely recommend this restaurant to everyone.,5
455,what a disgrace,The prices have doubled up while the quantity  and quality of the food deteriorated. DISAPPOINTED 😡😡,2
456,Way overrated!,Despite the hype and the great ambience the food was quite overrated! The meat was too fatty and was not properly cooked to our order. The service was great and the team were super helpful and friendly.,3
